# ==============================================================================
# ФИНАНСОВЫЙ ИИ-ТРЕКЕР & КАЛЬКУЛЯТОР БЮДЖЕТА 2026 (EXCEL & GOOGLE SHEETS)
# ==============================================================================
# Инструкция: Импортируйте этот файл в Excel или Google Sheets. Формулы пересчитаются автоматически.

Категория,Статья,План ($),Факт ($),Отклонение ($),Формула Статуса,% Выполнения
ДОХОДЫ,Продажи цифровых продуктов ($1 Заводы),1500,1840,=D3-C3,=IF(E3>=0;"ПЕРЕВЫПОЛНЕНО";"ОТСТАВАНИЕ"),=D3/C3
ДОХОДЫ,Подписки Pro Max ($19/мес),2200,2450,=D4-C4,=IF(E4>=0;"ПЕРЕВЫПОЛНЕНО";"ОТСТАВАНИЕ"),=D4/C4
ДОХОДЫ,B2B Лицензии для Центров ($79/мес),1580,1896,=D5-C5,=IF(E5>=0;"ПЕРЕВЫПОЛНЕНО";"ОТСТАВАНИЕ"),=D5/C5
ДОХОДЫ,Консультации и Настройка Ботов,800,950,=D6-C6,=IF(E6>=0;"ПЕРЕВЫПОЛНЕНО";"ОТСТАВАНИЕ"),=D6/C6
ИТОГО ДОХОДОВ,Суммарный оборот,=SUM(C3:C6),=SUM(D3:D6),=D7-C7,=IF(E7>=0;"ПРИБЫЛЬ В НОРМЕ";"ВНИМАНИЕ"),=D7/C7

РАСХОДЫ,Хостинг & Серверная Инфраструктура,40,38,=C9-D9,=IF(E9>=0;"ЭКОНОМИЯ";"ПЕРЕРАСХОД"),=D9/C9
РАСХОДЫ,AI API Токены (Gemini 2.5 Flash),35,29,=C10-D10,=IF(E10>=0;"ЭКОНОМИЯ";"ПЕРЕРАСХОД"),=D10/C10
РАСХОДЫ,Комиссии Эквайринга (Dodo / Lemon 5%),304,356,=C11-D11,=IF(E11>=0;"ЭКОНОМИЯ";"ПЕРЕРАСХОД"),=D11/C11
РАСХОДЫ,Трафик & Продвижение,500,420,=C12-D12,=IF(E12>=0;"ЭКОНОМИЯ";"ПЕРЕРАСХОД"),=D12/C12
ИТОГО РАСХОДОВ,Суммарные издержки,=SUM(C9:C12),=SUM(D9:D12),=C13-D13,=IF(E13>=0;"В ПРЕДЕЛАХ БЮДЖЕТА";"ПЕРЕРАСХОД"),=D13/C13

ФИНАНСОВЫЙ РЕЗУЛЬТАТ,Чистая Прибыль (Net Profit),=C7-C13,=D7-D13,=D15-C15,=IF(D15>0;"ПРИБЫЛЬНО";"УБЫТОК"),=D15/C15
ФИНАНСОВЫЙ РЕЗУЛЬТАТ,Маржинальность бизнеса (%),=C15/C7,=D15/D7,-,=IF(D16>=0.6;"СУПЕР-МАРЖА (60%+)";"НОРМА"),-
